candidate_id,ca_groups,skip_fusion,share_skip_attention,dfsmn_layout,status,passes_both_parameter_constraints,rejection_reason,parameters,without_skip_parameters,skip_parameters,full_parameter_match,ablation_parameter_match,distance_to_both_intervals,finite_full,finite_without_skip,shape_match,matrix_macs_transpose_input,matrix_macs_transpose_output
ca1_cat_skip-independent_dfsmn-per_frequency,1,cat,False,per_frequency,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,800674,758904,41770,False,False,79580,True,True,True,4679433280,6366870592
ca1_cat_skip-independent_dfsmn-flattened,1,cat,False,flattened,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,850210,808440,41770,False,False,178652,True,True,True,4679433280,6366870592
ca1_cat_skip-shared_dfsmn-per_frequency,1,cat,True,per_frequency,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,767258,758904,8354,False,False,46164,True,True,True,4679433280,6366870592
ca1_cat_skip-shared_dfsmn-flattened,1,cat,True,flattened,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,816794,808440,8354,False,False,145236,True,True,True,4679433280,6366870592
ca1_add_skip-independent_dfsmn-per_frequency,1,add,False,per_frequency,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,661410,619640,41770,False,False,178950,True,True,True,3874159680,4717878336
ca1_add_skip-independent_dfsmn-flattened,1,add,False,flattened,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,710946,669176,41770,False,False,79878,True,True,True,3874159680,4717878336
ca1_add_skip-shared_dfsmn-per_frequency,1,add,True,per_frequency,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,627994,619640,8354,False,False,212366,True,True,True,3874159680,4717878336
ca1_add_skip-shared_dfsmn-flattened,1,add,True,flattened,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,677530,669176,8354,False,False,113294,True,True,True,3874159680,4717878336
ca2_cat_skip-independent_dfsmn-per_frequency,2,cat,False,per_frequency,complete,False,no_skip_model_outside_rounded_0.73M,739234,717944,21290,True,False,7056,True,True,True,4679371840,6366809152
ca2_cat_skip-independent_dfsmn-flattened,2,cat,False,flattened,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,788770,767480,21290,False,False,76252,True,True,True,4679371840,6366809152
ca2_cat_skip-shared_dfsmn-per_frequency,2,cat,True,per_frequency,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,722202,717944,4258,False,False,19854,True,True,True,4679371840,6366809152
ca2_cat_skip-shared_dfsmn-flattened,2,cat,True,flattened,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,771738,767480,4258,False,False,59220,True,True,True,4679371840,6366809152
ca2_add_skip-independent_dfsmn-per_frequency,2,add,False,per_frequency,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,599970,578680,21290,False,False,281350,True,True,True,3874098240,4717816896
ca2_add_skip-independent_dfsmn-flattened,2,add,False,flattened,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,649506,628216,21290,False,False,182278,True,True,True,3874098240,4717816896
ca2_add_skip-shared_dfsmn-per_frequency,2,add,True,per_frequency,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,582938,578680,4258,False,False,298382,True,True,True,3874098240,4717816896
ca2_add_skip-shared_dfsmn-flattened,2,add,True,flattened,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,632474,628216,4258,False,False,199310,True,True,True,3874098240,4717816896
ca4_cat_skip-independent_dfsmn-per_frequency,4,cat,False,per_frequency,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,708514,697464,11050,False,False,54022,True,True,True,4679341120,6366778432
ca4_cat_skip-independent_dfsmn-flattened,4,cat,False,flattened,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,758050,747000,11050,False,False,25052,True,True,True,4679341120,6366778432
ca4_cat_skip-shared_dfsmn-per_frequency,4,cat,True,per_frequency,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,699674,697464,2210,False,False,62862,True,True,True,4679341120,6366778432
ca4_cat_skip-shared_dfsmn-flattened,4,cat,True,flattened,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,749210,747000,2210,False,False,16212,True,True,True,4679341120,6366778432
ca4_add_skip-independent_dfsmn-per_frequency,4,add,False,per_frequency,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,569250,558200,11050,False,False,332550,True,True,True,3874067520,4717786176
ca4_add_skip-independent_dfsmn-flattened,4,add,False,flattened,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,618786,607736,11050,False,False,233478,True,True,True,3874067520,4717786176
ca4_add_skip-shared_dfsmn-per_frequency,4,add,True,per_frequency,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,560410,558200,2210,False,False,341390,True,True,True,3874067520,4717786176
ca4_add_skip-shared_dfsmn-flattened,4,add,True,flattened,complete,False,full_model_outside_rounded_0.74M;no_skip_model_outside_rounded_0.73M,609946,607736,2210,False,False,242318,True,True,True,3874067520,4717786176
